lemma,active,passive
abide,1,0
abolish,1,1
absorb,1,0
abuse,0,1
accept,3,0
accompany,0,1
accord,3,0
account,1,0
accuse,0,1
acknowledge,2,0
acquire,1,1
act,4,0
add,3,3
address,3,0
adduce,0,1
adopt,2,0
advance,1,0
advise,0,1
affect,6,0
agree,3,0
alarm,1,1
align,0,1
allow,2,3
amaze,0,1
amount,1,0
announce,3,0
appeal,1,0
appear,6,0
appertain,1,0
applaud,0,1
apply,1,2
appoint,2,1
appreciate,0,1
approach,1,1
arch,1,0
argue,1,0
arise,1,0
array,0,1
arrive,3,0
ask,5,3
assert,1,2
assign,0,1
associate,0,1
assume,1,0
attach,1,2
attack,2,0
attain,1,0
attend,1,0
attract,1,0
attribute,0,2
authorize,2,1
avoid,1,0
base,0,15
battle,1,0
be,811,151
bear,2,4
become,8,0
begin,5,0
believe,3,0
belong,2,0
benefit,2,0
berade,1,0
bind,0,1
bite,1,0
borrow,1,0
bother,1,0
bounce,1,0
bowl,1,0
box,1,0
break,2,0
breastfeed,1,0
bring,2,0
build,2,4
buy,4,0
call,9,10
camp,1,0
can,66,0
carry,1,2
cast,2,0
catch,1,0
cause,4,3
celebrate,1,0
challenge,1,0
change,2,1
characterise,0,1
characterize,1,0
charge,1,0
chase,1,0
check,1,0
choose,5,2
circulate,0,1
claim,1,0
clarify,1,0
clear,1,0
click,1,0
climb,1,0
close,4,0
collapse,1,0
collect,1,0
color,0,4
come,32,0
commence,1,0
commit,2,1
compare,1,1
complain,0,1
complete,0,4
comply,0,1
compose,1,0
comprise,2,0
concentrate,1,0
conclude,1,0
condense,1,0
confirm,1,0
confront,0,1
confuse,1,0
connect,2,0
connote,1,0
consider,4,1
consist,1,0
constitute,1,0
construct,0,1
contain,5,0
contest,1,0
continue,1,0
contribute,1,0
control,1,0
convict,0,1
convince,1,2
correct,0,1
correspond,1,0
could,24,0
couple,0,1
crave,1,0
create,3,2
crop,0,1
cross,1,0
crowd,0,1
crush,4,0
cry,3,0
culminate,1,0
cut,5,3
damage,0,1
dance,3,0
debate,1,0
decentralize,0,1
decide,4,0
declare,3,1
decline,3,0
decrease,2,1
deem,1,0
defend,2,0
define,1,0
defy,1,0
demand,1,0
demolish,0,1
deny,2,2
depend,2,0
deprive,0,1
derive,1,0
describe,1,2
deserve,2,0
design,0,2
desire,2,0
deteriorate,1,0
determine,1,0
devastate,1,0
develop,1,1
devise,1,1
devote,0,1
die,4,0
dig,2,0
dilute,0,1
dip,1,0
direct,0,1
disappoint,0,1
discuss,2,1
disgruntle,0,1
dislike,1,0
dismount,2,0
dissolve,0,1
distort,1,0
distribute,2,0
dive,1,0
divide,2,0
do,170,2
document,1,0
drape,1,0
draw,1,0
dress,0,1
drink,1,0
drive,3,2
drizzle,1,0
drop,1,0
drown,0,1
dwell,1,0
eat,7,0
edit,1,0
educate,0,1
elect,1,3
embark,1,0
embd,0,1
empower,0,1
empty,1,0
enact,0,1
enclose,0,2
encourage,0,1
end,6,0
endorse,1,0
engage,4,0
enjoy,2,0
enroll,0,1
ensure,1,0
entail,1,0
enter,2,0
entitle,0,3
enumerate,1,0
escape,1,0
estimate,0,1
evaporate,0,1
evolve,11,1
exaggerate,0,2
examine,1,0
exclude,0,2
exile,0,1
exist,5,0
expand,2,1
expect,1,2
expel,0,1
experience,5,1
explain,1,0
express,2,0
extend,2,0
face,1,0
facilitate,1,0
fade,1,0
fail,3,0
fall,1,0
fasten,2,2
fatigue,0,1
favor,2,0
feel,14,0
festoon,0,1
fight,1,2
find,4,3
finish,3,0
fix,1,3
flatter,1,0
flee,1,0
focus,2,0
fold,1,0
follow,16,0
force,1,0
foresee,1,0
forge,1,0
forget,2,0
form,3,0
free,1,0
frequent,1,0
frown,1,0
fuck,1,0
function,1,0
gather,2,0
genuflect,1,0
get,48,4
give,7,5
glance,1,0
go,68,0
gossip,1,0
govern,4,0
greet,1,0
grin,1,0
ground,0,2
grow,3,1
guarantee,1,0
guess,2,0
guide,0,1
happen,11,0
harden,1,0
hark,1,0
have,212,0
head,1,0
heal,1,0
hear,13,0
help,2,0
herd,1,0
hide,1,0
hike,1,0
hire,0,1
hit,3,0
hold,5,1
hollow,1,0
honor,0,1
hope,5,0
host,2,1
humor,0,1
hunt,1,0
identify,1,0
ignore,1,0
imagine,1,0
immerse,0,1
immortalize,0,1
impeach,1,0
implement,1,1
impose,1,0
imprison,0,1
improve,3,1
include,9,0
increase,5,2
industrialize,1,0
inflict,0,1
initiate,1,0
inject,2,0
institute,1,0
intend,2,1
interest,1,0
interfere,1,0
interrupt,0,1
interview,2,0
introduce,1,1
invest,1,0
invite,0,1
invoke,2,0
involve,0,6
iodise,0,9
issue,3,1
join,1,2
joke,1,0
keep,10,1
kill,0,1
kneel,1,0
know,37,5
labor,1,0
lack,5,0
last,2,0
lay,1,1
lead,10,0
learn,5,2
leave,10,1
let,13,0
license,0,2
lie,3,0
lift,1,0
like,6,0
limit,0,4
link,0,2
live,8,0
locate,0,1
look,20,0
lose,8,0
love,3,0
lower,0,1
maintain,6,0
make,45,5
man,1,0
manage,2,1
map,1,0
mark,4,0
may,24,0
mean,19,2
measure,0,2
meditate,1,0
meet,7,0
melt,1,0
memorize,0,2
might,12,0
migrate,1,0
miss,4,0
mix,1,1
moan,1,0
modify,3,1
mortgage,1,0
move,11,1
munch,1,0
murmur,1,0
must,10,0
name,1,4
necessitate,0,1
need,17,3
neglect,0,2
note,2,0
notice,2,0
object,1,0
obscure,1,0
observe,2,6
occupy,1,0
occur,5,0
offend,0,1
offer,1,0
open,3,0
operate,1,0
oppose,2,0
orchestrate,1,0
order,1,0
organize,1,0
outline,1,0
outweigh,1,0
own,1,0
pack,1,1
paint,1,0
pair,0,1
participate,3,0
pass,1,0
patrol,1,0
pedestrianize,0,1
penalize,2,0
pend,1,0
perform,2,0
perfume,0,1
pick,2,0
pile,1,0
piss,0,1
place,1,2
plait,0,1
play,4,0
plead,1,0
please,1,0
pledge,1,1
plod,1,0
pop,1,0
populate,0,1
portray,0,2
posit,1,0
possess,1,0
post,0,1
pour,0,1
practice,2,0
practise,1,0
precede,1,0
prepare,2,3
present,2,2
preserve,0,1
press,2,0
pretend,1,0
prevail,1,0
prevent,3,0
proceed,1,0
proclaim,3,0
produce,5,0
promise,2,0
prompt,2,0
pronounce,1,0
propose,0,6
prosecute,0,1
protect,1,3
prove,2,0
provide,11,0
publish,2,1
pull,0,3
push,1,0
put,12,0
qualify,1,0
question,1,0
