feature,type,target_mean,other_mean,difference,ratio,effect_size,target_prop,other_prop
lemma_freq_per_million,numeric,16279.714599155379,8222.676804741717,8057.037794413662,0.9798558286721624,0.09089605696378564,,
lemma_freq,numeric,347.0700602079912,203.4764853827382,143.59357482525303,0.705701076736625,0.02218798053496717,,
subj_linear_distance,numeric,8.0,3.204642521761115,4.795357478238885,1.496378284169416,0.11129632727031066,,
subject_coref_count,numeric,1.6748768472906403,0.6120401912445839,1.0628366560460565,1.736547159935891,0.06818678464089431,,
order_type=_MISSING_,categorical,,,0.5143433217117509,0.5143433217117509,0.48184929710862934,0.9983579638752053,0.48401464216345436
order_subject_before_verb=_MISSING_,categorical,,,0.5143433217117509,0.5143433217117509,0.4810337302328821,0.9983579638752053,0.48401464216345436
n_subj_nodes,numeric,0.0021893814997263274,0.520094875242791,-0.5179054937430646,-0.9957904188187139,0.4590547548344797,,
has_nsubj=False,categorical,,,0.3630434782608696,0.3630434782608696,0.7672803620167437,1.0,0.6369565217391304
morph_marked=False,categorical,,,0.41976129755446284,0.41976129755446284,0.4817154215112869,0.9151614668856048,0.495400169331142
order_object_before_verb=_MISSING_,categorical,,,0.42920013115680755,0.42920013115680755,0.42929354307064205,0.9053092501368364,0.47610911898002883
n_subj,numeric,0.0,0.3630434782608696,-0.3630434782608696,-0.9999999997245509,0.5887191539365445,,
participial=False,categorical,,,0.3704091878950069,0.3704091878950069,0.5540298273166347,0.9299397920087575,0.5595306041137507
verbform=Fin,categorical,,,0.31728504917889605,0.31728504917889605,0.4098333802034987,0.6907498631636563,0.3734648139847602
n_objs,numeric,0.0,0.30839459136411174,-0.30839459136411174,-0.99999999967574,0.44180608714384434,,
n_obj,numeric,0.0,0.30839459136411174,-0.30839459136411174,-0.99999999967574,0.44180608714384434,,
finite=True,categorical,,,0.31728504917889605,0.31728504917889605,0.3268650043449198,0.6907498631636563,0.3734648139847602
nonfinite=False,categorical,,,0.31728504917889605,0.31728504917889605,0.3268650043449198,0.6907498631636563,0.3734648139847602
clause_finiteness=finite,categorical,,,0.31728504917889605,0.31728504917889605,0.3268650043449198,0.6907498631636563,0.3734648139847602
aux_lemmas=[],categorical,,,0.2791693684331128,0.2791693684331128,0.3781499398845078,0.9879584017515052,0.7087890333183924
clause_type=subordinate,categorical,,,0.2635631815903535,0.2635631815903535,0.4231860115914136,0.9819376026272578,0.7183744210369043
aux_present=False,categorical,,,0.2791693684331128,0.2791693684331128,0.33784074761939614,0.9879584017515052,0.7087890333183924
tense=_MISSING_,categorical,,,0.23680277558815097,0.23680277558815097,0.3615506239861324,0.4367816091954023,0.19997883360725136
xpos=MD,categorical,,,0.18020465957497442,0.18020465957497442,0.5627446066459737,0.18281335522714834,0.0026086956521739132
aux_be=False,categorical,,,0.1904693370055277,0.1904693370055277,0.41804273580603624,0.9956212370005474,0.8051518999950197
has_aux_pass=False,categorical,,,0.16838487972508598,0.16838487972508598,0.5434477767262065,1.0,0.831615120274914
n_obl,numeric,0.1023535851122058,0.34259475073459833,-0.24024116562239253,-0.7012400658128554,0.05719223731568406,,
has_nsubj_pass=False,categorical,,,0.1512027491408935,0.1512027491408935,0.5133413272739294,1.0,0.8487972508591065
tense=Pres,categorical,,,0.16198164908709123,0.16198164908709123,0.3615506239861324,0.42419266557197594,0.2622110164848847
obj_linear_distance,numeric,3.1734104046242773,3.372888205841385,-0.19947780121710768,-0.0591415395463523,0.08657673032896687,,
n_advmod,numeric,0.051450465243568694,0.24057199063698392,-0.18912152539341523,-0.7861327697129163,0.06624324393771742,,
