feature,type,target_mean,other_mean,difference,ratio,effect_size,target_prop,other_prop
lemma_freq_per_million,numeric,8412.126608341565,12156.470800148625,-3744.3441918070603,-0.30801243661616423,0.09089605696378564,,
lemma_freq,numeric,208.69644902634593,272.66329097356083,-63.9668419472149,-0.23460012427339944,0.02218798053496717,,
obj_linear_distance,numeric,4.133079847908745,2.893053484199151,1.2400263637095943,0.42862199763651915,0.08657673032896687,,
subj_linear_distance,numeric,4.018939393939394,5.195172824791419,-1.176233430852025,-0.2264089127538522,0.11129632727031066,,
xpos=VBN,categorical,,,0.6694672582707174,0.6694672582707174,0.5627446066459737,0.7033218785796106,0.03385462030889317
participial=True,categorical,,,0.605256513863834,0.605256513863834,0.5540298273166347,0.720504009163803,0.11524749529996905
verbform=Part,categorical,,,0.605256513863834,0.605256513863834,0.4098333802034987,0.720504009163803,0.11524749529996905
tense=Past,categorical,,,0.6108900458950692,0.6108900458950692,0.3615506239861324,0.8121420389461627,0.20125199305109348
morph_marked=True,categorical,,,0.5337369165196488,0.5337369165196488,0.4817154215112869,0.720504009163803,0.1867670926441541
has_nsubj=False,categorical,,,0.3630434782608696,0.3630434782608696,0.7672803620167437,1.0,0.6369565217391304
n_subj,numeric,0.0,0.3630434782608696,-0.3630434782608696,-0.9999999997245509,0.5887191539365445,,
finite=False,categorical,,,0.3940974775253512,0.3940974775253512,0.3268650043449198,0.7835051546391752,0.38940767711382407
nonfinite=True,categorical,,,0.3940974775253512,0.3940974775253512,0.3268650043449198,0.7835051546391752,0.38940767711382407
clause_finiteness=nonfinite,categorical,,,0.3940974775253512,0.3940974775253512,0.3268650043449198,0.7835051546391752,0.38940767711382407
has_aux_pass=True,categorical,,,0.33676975945017185,0.33676975945017185,0.5434477767262065,0.33676975945017185,0.0
has_nsubj_pass=True,categorical,,,0.3024054982817869,0.3024054982817869,0.5133413272739294,0.3024054982817869,0.0
aux_be=True,categorical,,,0.30468073155371256,0.30468073155371256,0.41804273580603624,0.3344788087056128,0.02979807715190024
n_objs,numeric,0.013745704467353952,0.3015217391304348,-0.2877760346630808,-0.9544122271169013,0.44180608714384434,,
n_obj,numeric,0.013745704467353952,0.3015217391304348,-0.2877760346630808,-0.9544122271169013,0.44180608714384434,,
n_subj_pass,numeric,0.3024054982817869,0.0,0.3024054982817869,0.3024054982817869,0.26351931828735936,,
mood=_MISSING_,categorical,,,0.30008210425960313,0.30008210425960313,0.1663106387637666,0.7835051546391752,0.4834230503795721
number=_MISSING_,categorical,,,0.2813885938719398,0.2813885938719398,0.1568500366942848,0.7835051546391752,0.5021165607672354
aux_lemmas=['be'],categorical,,,0.2225242496572038,0.2225242496572038,0.3781499398845078,0.24971363115693013,0.02718938149972633
is_participial_clause=True,categorical,,,0.22889441018322454,0.22889441018322454,0.3047414015970558,0.27835051546391754,0.04945610528069298
person,numeric,2.8412698412698414,2.565059214263864,0.2762106270059772,0.10768196907862712,0.02002418950969701,,
aux_present=True,categorical,,,0.2079228733694027,0.2079228733694027,0.33784074761939614,0.33676975945017185,0.12884688608076914
lemma_passive_rate,numeric,0.29723140984062013,0.06104854005792202,0.23618286978269812,3.868771786708312,0.1773615287912818,,
order_object_before_verb=_MISSING_,categorical,,,0.11934622158729169,0.11934622158729169,0.42929354307064205,0.6987399770904925,0.5793937555032008
lemma_transitivity,numeric,0.26217507376163496,0.37968152977186953,-0.11750645601023457,-0.30948689036806526,0.10227246890402905,,
n_obl,numeric,0.3356242840778923,0.22595940125175507,0.10966488282613723,0.48533002906756656,0.05719223731568406,,
