lemma,active,passive
Biotale,1,0
Open,1,0
abandon,4,2
abate,1,0
abolish,1,0
absorb,5,0
accelerate,4,1
accept,13,7
access,3,1
acclaim,0,1
accommodate,6,0
accompany,1,1
accomplish,7,1
account,4,0
accumulate,1,0
accustom,0,3
accustome,0,1
achieve,21,2
acknowledge,11,1
acquire,5,3
act,6,0
activate,0,1
adapt,1,2
add,50,3
address,13,2
adjudicate,0,1
adjust,1,0
administer,3,2
admire,1,0
admit,4,1
adopt,10,8
adorn,1,2
advance,3,2
advertise,1,0
advise,0,1
advocate,2,0
aerate,0,2
affect,11,8
affirm,2,0
afford,6,0
age,2,0
agree,17,4
aid,0,1
aim,8,1
air,1,0
align,1,1
allege,0,4
allocate,2,1
allot,0,1
allow,33,14
allude,1,1
alter,5,1
amass,1,0
amaze,0,2
amend,0,3
amount,2,0
analyse,2,0
analyze,5,1
annotate,1,1
announce,9,2
annoy,4,1
answer,6,0
anticipate,3,0
appeal,3,0
appear,30,0
appease,1,0
applaud,1,0
apply,20,11
appoint,1,3
appreciate,5,1
approach,6,0
approve,0,1
approximate,1,0
argue,10,0
arise,8,0
arrange,3,6
arrest,2,4
arrive,13,0
ascend,1,0
ascertain,2,0
ask,64,4
assault,0,1
assemble,5,0
assert,5,1
assess,9,3
assign,5,1
assist,7,2
associate,2,7
assort,0,1
assume,12,1
assure,0,3
attach,2,5
attack,8,1
attain,1,0
attempt,9,0
attend,14,2
attract,10,2
attribute,0,3
audition,1,0
augment,0,3
avert,1,0
avoid,17,2
await,4,0
awake,1,0
award,2,5
back,4,1
backdate,1,0
bake,3,0
balance,3,2
bale,3,0
ban,2,1
banish,1,0
baptize,0,1
bar,0,1
bare,1,0
base,4,56
bat,4,1
batter,0,1
battle,2,0
be,574,1265
bear,4,39
beat,11,3
beckon,2,0
become,63,0
beef,1,0
begin,50,1
behave,1,0
believe,47,1
belong,9,0
bend,2,1
benefit,7,0
besiege,1,0
bet,2,0
betray,0,1
better,4,0
bewilder,0,1
bid,1,0
bind,1,2
bitch,1,0
bite,1,0
black,0,1
blacken,0,1
blame,4,0
blast,1,0
blend,0,2
bless,0,1
blind,1,0
blindfold,0,1
blink,6,0
block,1,0
blood,0,1
bloody,0,1
blotch,1,0
blow,2,3
board,4,0
boast,2,0
bob,1,0
bog,1,0
boil,1,0
bolster,2,0
bomb,1,0
bombard,1,0
book,6,3
boost,2,0
border,0,1
borrow,2,0
bother,5,0
bounce,1,0
bound,0,2
branch,1,0
bre,1,0
break,18,10
breath,1,0
breathe,7,0
breed,1,0
bring,52,4
broadcast,4,2
broaden,1,0
brood,1,0
brown,1,0
browse,2,0
buckle,1,0
buffer,1,0
build,41,16
bump,1,0
burn,0,2
burrow,1,0
burst,1,0
bury,3,3
bust,0,2
buy,35,0
cache,1,0
cake,0,1
calculate,3,2
calibrate,0,1
call,65,60
camp,1,0
campaign,1,0
can,30,0
cancel,0,1
cap,0,1
capitalize,1,0
captain,1,0
capture,5,2
care,3,0
carry,24,1
carve,5,2
cash,1,0
cast,0,3
catch,14,4
cater,1,0
cause,32,3
cease,2,0
celebrate,4,2
center,0,2
challenge,6,0
change,32,0
channel,0,1
chant,1,0
char,0,1
characterize,2,1
charge,4,2
charter,2,1
chase,1,1
cheat,1,0
check,15,0
cheer,1,0
cherish,0,1
chew,2,0
chill,2,0
chime,1,0
chip,0,1
chock,0,1
chomp,1,0
choose,21,3
chop,2,0
chunk,1,0
circle,2,0
circulate,1,0
cite,5,4
claim,23,3
clamber,1,0
clamp,1,0
clap,1,0
clarify,1,1
classify,0,1
clean,5,2
clear,3,0
climax,1,0
climb,4,0
clinch,1,0
cling,2,0
close,6,4
cluster,0,1
co-found,1,0
co-ordinate,0,1
co-own,0,1
coat,1,0
coax,1,0
code,0,2
coin,1,1
coincide,3,0
collaborate,2,0
collapse,3,0
collaspe,1,0
collect,28,5
colonize,1,0
color,0,2
comb,1,0
combat,1,0
combine,8,4
come,153,0
comfort,1,0
command,1,0
commemorate,1,1
commence,1,0
commend,2,0
comment,3,0
commercialize,1,0
commission,1,1
commit,4,5
communicate,0,1
compare,9,8
compel,0,2
compensate,1,0
compete,2,0
compile,1,0
complement,3,0
complete,10,8
comply,2,0
compose,1,3
compound,1,0
compress,1,0
comprise,1,1
concede,2,0
conceive,1,0
concentrate,0,1
conceptualize,1,0
concern,5,3
conclude,6,0
condemn,2,1
conduct,10,5
confide,2,0
confine,4,0
confirm,0,1
confiscate,0,1
conflate,1,0
confront,1,1
confuse,0,2
congratulate,5,0
connect,6,9
conquer,1,0
consent,4,0
consider,32,18
consist,5,0
consolidate,0,1
constitute,1,0
constrain,0,1
construct,2,1
construe,1,0
consult,1,0
consume,4,0
contact,7,0
contain,16,1
contemplate,4,0
contend,1,0
contest,0,3
continue,35,2
contradict,2,0
contribute,7,1
control,5,1
convene,1,0
convert,4,3
convey,4,1
convince,1,3
cook,6,1
cool,1,0
cooperate,2,0
coordinate,1,0
copy,6,1
copyright,0,4
correct,2,2
cost,8,0
costume,0,1
cough,1,0
could,13,0
count,7,0
counteract,2,0
couple,0,1
course,2,0
cover,15,11
crack,2,0
cradle,1,0
craft,0,1
cram,1,0
crash,1,0
crave,1,0
crawl,2,0
craze,0,1
create,57,11
credential,1,0
credit,0,2
creep,2,0
criticise,1,0
criticize,1,0
crochet,1,0
cross,6,3
cross-breed,1,0
crouch,1,0
crowd,1,1
crumble,1,0
crumple,1,1
crunch,1,0
crush,2,2
cry,6,0
cultivate,1,0
curate,0,2
curb,1,0
curdle,1,0
curl,0,1
curse,1,1
curve,1,0
cut,9,7
damage,2,1
dampen,1,0
dance,3,0
dangle,1,0
dare,2,0
dash,1,0
date,2,0
daydream,1,0
deadbolt,0,1
deal,2,1
debate,1,2
debut,2,0
deceive,1,0
decentralize,0,1
decide,32,1
declare,12,0
decline,4,0
decouple,1,0
decrease,5,0
dedicate,1,3
