value,count,P_active,P_passive
root,6176,0.8920012953367875,0.10799870466321243
advcl,2161,0.8810735770476631,0.11892642295233688
conj,1571,0.867600254614895,0.13239974538510502
acl:relcl,1520,0.8927631578947368,0.10723684210526316
aux:pass,1286,0.0,1.0
acl,1043,0.5560882070949185,0.4439117929050815
xcomp,980,0.9030612244897959,0.09693877551020408
ccomp,825,0.9030303030303031,0.09696969696969697
parataxis,744,0.9301075268817204,0.06989247311827956
amod,373,0.0,1.0
advcl:relcl,210,0.9047619047619048,0.09523809523809523
csubj,180,0.9555555555555556,0.044444444444444446
reparandum,141,0.9787234042553191,0.02127659574468085
appos,27,0.7407407407407407,0.25925925925925924
dep,11,0.7272727272727273,0.2727272727272727
csubj:pass,9,0.6666666666666666,0.3333333333333333
compound,6,0.3333333333333333,0.6666666666666666
orphan,6,0.6666666666666666,0.3333333333333333
csubj:outer,5,0.8,0.2
