value,count,P_active,P_passive
interview,1568,0.8182397959183674,0.18176020408163265
fiction,1509,0.8846918489065606,0.11530815109343936
whow,1484,0.8429919137466307,0.15700808625336926
conversation,1404,0.9323361823361823,0.06766381766381767
vlog,1327,0.9284099472494348,0.07159005275056518
news,1281,0.6783762685402029,0.32162373145979706
textbook,1258,0.7297297297297297,0.2702702702702703
academic,1235,0.5991902834008097,0.4008097165991903
speech,1223,0.8323793949304987,0.16762060506950122
bio,1180,0.6254237288135593,0.37457627118644066
voyage,973,0.5847893114080165,0.41521068859198357
podcast,869,0.903337169159954,0.09666283084004602
court,708,0.7740112994350282,0.22598870056497175
letter,676,0.7988165680473372,0.20118343195266272
essay,595,0.7529411764705882,0.24705882352941178
