value,count,P_active,P_passive
GUM_court_property,208,0.6875,0.3125
GUM_podcast_movie,187,0.9358288770053476,0.06417112299465241
GUM_conversation_blacksmithing,180,0.9555555555555556,0.044444444444444446
GUM_podcast_llms,173,0.8439306358381503,0.15606936416184972
GUM_vlog_pregnant,169,0.9467455621301775,0.05325443786982249
GUM_fiction_frankenstein,166,0.9578313253012049,0.04216867469879518
GUM_letter_flood,163,0.7423312883435583,0.25766871165644173
GUM_fiction_pag,155,0.9290322580645162,0.07096774193548387
GUM_interview_herrick,155,0.8580645161290322,0.14193548387096774
GUM_podcast_brave,152,0.9078947368421053,0.09210526315789473
GUM_textbook_spacetime,152,0.743421052631579,0.2565789473684211
GUM_speech_trump,150,0.9466666666666667,0.05333333333333334
GUM_court_carpet,150,0.8666666666666667,0.13333333333333333
GUM_whow_basil,148,0.8445945945945946,0.1554054054054054
GUM_conversation_family,146,0.958904109589041,0.0410958904109589
GUM_news_warhol,144,0.8055555555555556,0.19444444444444445
GUM_essay_food,143,0.7062937062937062,0.2937062937062937
GUM_conversation_erasmus,141,0.7872340425531915,0.2127659574468085
GUM_essay_ghost,141,0.8014184397163121,0.19858156028368795
GUM_conversation_artist,139,0.9784172661870504,0.02158273381294964
GUM_vlog_exams,137,0.927007299270073,0.072992700729927
GUM_conversation_toys,137,0.948905109489051,0.051094890510948905
GUM_vlog_lipstick,135,0.9703703703703703,0.02962962962962963
GUM_whow_procrastinating,134,0.8283582089552238,0.17164179104477612
GUM_bio_galois,132,0.553030303030303,0.44696969696969696
GUM_academic_theropod,132,0.5378787878787878,0.4621212121212121
GUM_interview_messina,132,0.8257575757575758,0.17424242424242425
GUM_textbook_evoethics,132,0.8181818181818182,0.18181818181818182
GUM_interview_daly,131,0.7786259541984732,0.22137404580152673
GUM_whow_quidditch,129,0.7596899224806202,0.24031007751937986
GUM_textbook_anthropology,129,0.6201550387596899,0.3798449612403101
GUM_podcast_pandemic,128,0.890625,0.109375
GUM_textbook_history,128,0.71875,0.28125
GUM_vlog_college,128,0.9453125,0.0546875
GUM_interview_shalev,128,0.8203125,0.1796875
GUM_letter_zora,127,0.8818897637795275,0.11811023622047244
GUM_academic_epistemic,126,0.746031746031746,0.25396825396825395
GUM_letter_gorbachev,125,0.664,0.336
GUM_textbook_grit,123,0.7804878048780488,0.21951219512195122
GUM_vlog_covid,123,0.9349593495934959,0.06504065040650407
GUM_vlog_appearance,123,0.967479674796748,0.032520325203252036
GUM_interview_ants,122,0.7950819672131147,0.20491803278688525
GUM_interview_dungeon,121,0.9256198347107438,0.0743801652892562
GUM_court_fire,121,0.7768595041322314,0.2231404958677686
GUM_court_prince,121,0.8181818181818182,0.18181818181818182
GUM_podcast_collaboration,120,0.9166666666666666,0.08333333333333333
GUM_speech_humanitarian,120,0.7833333333333333,0.21666666666666667
GUM_conversation_zero,119,0.957983193277311,0.04201680672268908
GUM_fiction_oversite,119,0.8991596638655462,0.10084033613445378
GUM_whow_languages,118,0.8305084745762712,0.1694915254237288
GUM_vlog_hair,118,0.9152542372881356,0.0847457627118644
GUM_speech_destiny,117,0.8376068376068376,0.1623931623931624
GUM_interview_onion,117,0.8803418803418803,0.11965811965811966
GUM_textbook_alamo,116,0.7155172413793104,0.28448275862068967
GUM_fiction_sneeze,115,0.9043478260869565,0.09565217391304348
GUM_textbook_entrepreneurship,114,0.7456140350877193,0.2543859649122807
GUM_conversation_scientist,113,0.8761061946902655,0.12389380530973451
GUM_conversation_vet,113,0.9026548672566371,0.09734513274336283
GUM_whow_arrogant,112,0.8839285714285714,0.11607142857142858
GUM_news_defector,112,0.5714285714285714,0.42857142857142855
GUM_essay_distraction,111,0.8288288288288288,0.17117117117117117
GUM_speech_nixon,111,0.8198198198198198,0.18018018018018017
GUM_essay_dividends,111,0.6756756756756757,0.32432432432432434
GUM_conversation_atoms,111,0.9819819819819819,0.018018018018018018
GUM_textbook_cognition,110,0.6545454545454545,0.34545454545454546
GUM_fiction_honour,109,0.7522935779816514,0.24770642201834864
GUM_podcast_addiction,109,0.9357798165137615,0.06422018348623854
GUM_speech_floyd,108,0.8888888888888888,0.1111111111111111
GUM_vlog_hiking,108,0.9259259259259259,0.07407407407407407
GUM_interview_stardust,108,0.6111111111111112,0.3888888888888889
GUM_court_equality,108,0.7592592592592593,0.24074074074074073
GUM_fiction_wedding,108,0.7777777777777778,0.2222222222222222
GUM_news_questionnaire,107,0.719626168224299,0.2803738317757009
GUM_interview_peres,107,0.8598130841121495,0.14018691588785046
GUM_speech_albania,107,0.6728971962616822,0.32710280373831774
GUM_whow_skittles,107,0.8691588785046729,0.1308411214953271
GUM_voyage_sydfynske,107,0.4766355140186916,0.5233644859813084
GUM_conversation_christmas,107,0.9813084112149533,0.018691588785046728
GUM_speech_school,106,0.7452830188679245,0.25471698113207547
GUM_fiction_garden,106,0.8301886792452831,0.16981132075471697
GUM_voyage_thailand,106,0.6037735849056604,0.39622641509433965
GUM_speech_maiden,106,0.8018867924528302,0.19811320754716982
GUM_textbook_sociology,105,0.8380952380952381,0.1619047619047619
GUM_speech_telescope,105,0.8761904761904762,0.12380952380952381
GUM_interview_chomsky,105,0.8571428571428571,0.14285714285714285
GUM_speech_data,104,0.9038461538461539,0.09615384615384616
GUM_whow_flirt,104,0.875,0.125
GUM_news_afghan,101,0.6039603960396039,0.39603960396039606
GUM_bio_bernoulli,101,0.6237623762376238,0.37623762376237624
GUM_vlog_mermaid,100,0.97,0.03
GUM_interview_cocktail,100,0.71,0.29
GUM_conversation_gossip,98,0.9285714285714286,0.07142857142857142
GUM_academic_mutation,97,0.5670103092783505,0.4329896907216495
GUM_interview_mcguire,96,0.875,0.125
GUM_vlog_pizzeria,95,0.8947368421052632,0.10526315789473684
GUM_bio_fillmore,94,0.5851063829787234,0.4148936170212766
GUM_bio_jerome,93,0.6451612903225806,0.3548387096774194
GUM_academic_huh,92,0.5978260869565217,0.40217391304347827
GUM_academic_economics,92,0.717391304347826,0.2826086956521739
GUM_whow_packing,91,0.9010989010989011,0.0989010989010989
GUM_vlog_wine,91,0.7582417582417582,0.24175824175824176
GUM_voyage_chatham,91,0.7142857142857143,0.2857142857142857
GUM_academic_census,90,0.6555555555555556,0.34444444444444444
GUM_essay_sexlife,89,0.7528089887640449,0.24719101123595505
GUM_speech_remarks,89,0.8426966292134831,0.15730337078651685
GUM_fiction_time,87,0.9425287356321839,0.05747126436781609
GUM_fiction_moon,87,0.8275862068965517,0.1724137931034483
GUM_fiction_veronique,87,0.9540229885057471,0.04597701149425287
GUM_academic_enjambment,87,0.5517241379310345,0.4482758620689655
GUM_academic_replication,86,0.5465116279069767,0.45348837209302323
GUM_voyage_tulsa,85,0.6,0.4
GUM_news_soccer,83,0.8072289156626506,0.1927710843373494
GUM_fiction_claus,83,0.9156626506024096,0.08433734939759036
GUM_academic_implicature,82,0.524390243902439,0.47560975609756095
GUM_bio_padalecki,82,0.6585365853658537,0.34146341463414637
GUM_whow_glowstick,81,0.8395061728395061,0.16049382716049382
GUM_bio_higuchi,81,0.6666666666666666,0.3333333333333333
GUM_bio_gordon,80,0.4875,0.5125
GUM_fiction_rose,79,0.9367088607594937,0.06329113924050633
GUM_voyage_lodz,78,0.48717948717948717,0.5128205128205128
GUM_whow_cupcakes,78,0.7692307692307693,0.23076923076923078
GUM_whow_chicken,78,0.8333333333333334,0.16666666666666666
GUM_bio_theodorus,78,0.7948717948717948,0.20512820512820512
GUM_voyage_fortlee,78,0.5256410256410257,0.47435897435897434
GUM_whow_ballet,78,0.8333333333333334,0.16666666666666666
GUM_bio_nida,78,0.6538461538461539,0.34615384615384615
GUM_fiction_error,77,0.922077922077922,0.07792207792207792
GUM_whow_elevator,77,0.948051948051948,0.05194805194805195
GUM_bio_marbles,77,0.6493506493506493,0.35064935064935066
GUM_textbook_stats,77,0.6233766233766234,0.37662337662337664
GUM_whow_parachute,76,0.8421052631578947,0.15789473684210525
GUM_academic_salinity,76,0.2631578947368421,0.7368421052631579
GUM_academic_lighting,75,0.5466666666666666,0.4533333333333333
GUM_voyage_isfahan,75,0.4266666666666667,0.5733333333333334
GUM_academic_games,74,0.7567567567567568,0.24324324324324326
GUM_letter_conference,74,0.7162162162162162,0.28378378378378377
GUM_whow_quinoa,73,0.8082191780821918,0.1917808219178082
GUM_textbook_artwork,72,0.7361111111111112,0.2638888888888889
GUM_news_clock,71,0.8028169014084507,0.19718309859154928
GUM_fiction_pixies,70,0.9142857142857143,0.08571428571428572
GUM_news_election,70,0.34285714285714286,0.6571428571428571
GUM_voyage_socotra,69,0.6376811594202898,0.36231884057971014
GUM_voyage_cuba,68,0.5882352941176471,0.4117647058823529
GUM_news_hackers,67,0.7164179104477612,0.2835820895522388
GUM_bio_holt,67,0.6567164179104478,0.34328358208955223
GUM_letter_roomers,66,0.8636363636363636,0.13636363636363635
GUM_academic_art,64,0.703125,0.296875
GUM_news_taxes,62,0.7580645161290323,0.24193548387096775
GUM_academic_thrones,62,0.6451612903225806,0.3548387096774194
GUM_fiction_giants,61,0.7377049180327869,0.26229508196721313
GUM_news_imprisoned,61,0.5245901639344263,0.47540983606557374
GUM_interview_licen,57,0.6842105263157895,0.3157894736842105
GUM_news_warming,54,0.7037037037037037,0.2962962962962963
GUM_letter_marcie2,53,0.9245283018867925,0.07547169811320754
GUM_news_expo,53,0.6415094339622641,0.3584905660377358
GUM_news_lanterns,53,0.7169811320754716,0.2830188679245283
GUM_voyage_york,50,0.66,0.34
GUM_bio_enfant,50,0.48,0.52
GUM_bio_chao,49,0.7142857142857143,0.2857142857142857
GUM_bio_moreau,49,0.5714285714285714,0.42857142857142855
GUM_voyage_phoenix,47,0.6595744680851063,0.3404255319148936
GUM_news_korea,47,0.7872340425531915,0.2127659574468085
GUM_news_asylum,45,0.6666666666666666,0.3333333333333333
GUM_interview_mckenzie,45,0.9333333333333333,0.06666666666666667
GUM_voyage_merida,44,0.6818181818181818,0.3181818181818182
GUM_news_ie9,44,0.7045454545454546,0.29545454545454547
GUM_interview_brotherhood,44,0.8636363636363636,0.13636363636363635
GUM_voyage_guadeloupe,42,0.6428571428571429,0.35714285714285715
GUM_news_flag,40,0.7,0.3
GUM_bio_hadid,37,0.7027027027027027,0.2972972972972973
GUM_letter_marcie3,35,0.9714285714285714,0.02857142857142857
GUM_voyage_cleveland,33,0.6666666666666666,0.3333333333333333
GUM_letter_marcie,33,0.9393939393939394,0.06060606060606061
GUM_bio_goode,32,0.625,0.375
GUM_news_crane,29,0.6551724137931034,0.3448275862068966
GUM_news_stampede,28,0.4642857142857143,0.5357142857142857
GUM_news_worship,10,0.8,0.2
