bin,count,P_active,P_passive
"(0.016999999999999998, 0.0533]",1831,0.9623156744948116,0.037684325505188423
"(0.0533, 0.0779]",1690,0.9337278106508876,0.06627218934911243
"(0.0779, 0.12]",1772,0.899548532731377,0.10045146726862303
"(0.12, 0.158]",1638,0.8601953601953602,0.1398046398046398
"(0.158, 0.193]",1795,0.8261838440111421,0.17381615598885794
"(0.193, 0.24]",1670,0.7868263473053893,0.21317365269461078
"(0.24, 0.283]",1707,0.7416520210896309,0.2583479789103691
"(0.283, 0.34]",1740,0.6925287356321839,0.3074712643678161
"(0.34, 0.402]",1730,0.6317919075144509,0.36820809248554914
"(0.402, 0.737]",1717,0.5119394292370414,0.48806057076295867
