bin,count,P_active,P_passive
"(166.999, 713.0]",1734,0.7756632064590542,0.2243367935409458
"(713.0, 903.0]",1751,0.75214163335237,0.24785836664762992
"(903.0, 998.0]",1783,0.7033090297251823,0.2966909702748177
"(998.0, 1055.0]",1729,0.708502024291498,0.291497975708502
"(1055.0, 1118.0]",1730,0.7670520231213873,0.2329479768786127
"(1118.0, 1161.0]",1761,0.8398637137989778,0.16013628620102216
"(1161.0, 1215.0]",1660,0.8542168674698796,0.14578313253012049
"(1215.0, 1269.0]",1718,0.8172293364377182,0.18277066356228172
"(1269.0, 1366.0]",1822,0.8111964873765093,0.18880351262349068
"(1366.0, 1878.0]",1602,0.8339575530586767,0.16604244694132334
