value,count,P_active,P_passive
nsubj+obj,2653,0.9996230682246513,0.0003769317753486619
obj,2409,0.9904524699045247,0.009547530095475302
nsubj,1938,0.9984520123839009,0.0015479876160990713
none,1917,0.0,1.0
nsubj+obl,1604,0.9993765586034913,0.0006234413965087282
nsubj+obj+obl,1280,1.0,0.0
nsubj+xcomp,990,1.0,0.0
ccomp+nsubj,821,1.0,0.0
obj+obl,797,0.9962358845671268,0.0037641154328732747
nsubj:pass+obl,534,0.0,1.0
obl,381,0.0,1.0
nsubj:pass,307,0.0,1.0
obj+xcomp,279,1.0,0.0
nsubj+obj+xcomp,252,1.0,0.0
agent+obl,146,0.0,1.0
agent+nsubj:pass+obl,145,0.0,1.0
nsubj+obl+xcomp,141,1.0,0.0
nsubj:pass+xcomp,106,0.0,1.0
ccomp+nsubj+obl,97,1.0,0.0
iobj,90,1.0,0.0
iobj+nsubj,83,1.0,0.0
xcomp,53,0.0,1.0
nsubj+obj+obl+xcomp,31,1.0,0.0
nsubj:pass+obl+xcomp,29,0.0,1.0
ccomp+iobj+nsubj,26,1.0,0.0
iobj+nsubj+xcomp,26,1.0,0.0
iobj+nsubj+obl,24,1.0,0.0
ccomp+iobj,19,1.0,0.0
iobj+xcomp,19,1.0,0.0
iobj+obl,15,1.0,0.0
nsubj:pass+obj+obl,12,0.0,1.0
obj+obl+xcomp,11,1.0,0.0
ccomp,11,0.0,1.0
nsubj:pass+obj,9,0.0,1.0
agent+nsubj:pass+obl+xcomp,8,0.0,1.0
ccomp+nsubj:pass,8,0.0,1.0
obl+xcomp,6,0.0,1.0
ccomp+iobj+nsubj+obl,5,1.0,0.0
