bin,count,P_active,P_passive
"(0.0667, 0.0716]",2731,0.9304284145001831,0.06957158549981692
"(0.0716, 0.0967]",869,0.903337169159954,0.09666283084004602
"(0.0967, 0.157]",2993,0.8640160374206481,0.13598396257935183
"(0.157, 0.168]",1223,0.8323793949304987,0.16762060506950122
"(0.168, 0.182]",1568,0.8182397959183674,0.18176020408163265
"(0.182, 0.226]",1384,0.7861271676300579,0.2138728323699422
"(0.226, 0.27]",1853,0.7371829465731247,0.26281705342687534
"(0.27, 0.322]",1281,0.6783762685402029,0.32162373145979706
"(0.322, 0.401]",2415,0.612008281573499,0.38799171842650104
"(0.401, 0.415]",973,0.5847893114080165,0.41521068859198357
