value,count,P_active,P_passive
be,1839,0.31212615551930395,0.687873844480696
have,744,1.0,0.0
know,423,0.8699763593380615,0.13002364066193853
do,399,0.9122807017543859,0.08771929824561403
get,365,0.936986301369863,0.06301369863013699
make,353,0.8611898016997167,0.1388101983002833
say,323,0.9721362229102167,0.02786377708978328
go,321,1.0,0.0
take,292,0.9143835616438356,0.08561643835616438
think,253,0.9881422924901185,0.011857707509881422
see,229,0.9301310043668122,0.06986899563318777
use,227,0.7533039647577092,0.24669603524229075
want,199,1.0,0.0
come,153,1.0,0.0
find,151,0.8543046357615894,0.1456953642384106
give,140,0.8,0.2
mean,128,0.953125,0.046875
call,125,0.52,0.48
put,120,0.9416666666666667,0.058333333333333334
let,108,1.0,0.0
need,107,0.8878504672897196,0.11214953271028037
tell,106,0.9150943396226415,0.08490566037735849
look,104,1.0,0.0
feel,101,1.0,0.0
start,96,0.9583333333333334,0.041666666666666664
show,92,0.8369565217391305,0.16304347826086957
like,91,1.0,0.0
try,91,0.978021978021978,0.02197802197802198
write,80,0.8375,0.1625
leave,79,0.8607594936708861,0.13924050632911392
provide,71,0.9014084507042254,0.09859154929577464
create,68,0.8382352941176471,0.16176470588235295
ask,68,0.9411764705882353,0.058823529411764705
become,63,1.0,0.0
base,60,0.06666666666666667,0.9333333333333333
work,59,1.0,0.0
build,57,0.7192982456140351,0.2807017543859649
bring,56,0.9285714285714286,0.07142857142857142
help,55,1.0,0.0
keep,53,0.9245283018867925,0.07547169811320754
add,53,0.9433962264150944,0.05660377358490566
play,52,0.9615384615384616,0.038461538461538464
begin,51,0.9803921568627451,0.0196078431372549
consider,50,0.64,0.36
thank,49,1.0,0.0
believe,48,0.9791666666666666,0.020833333333333332
hold,48,0.7916666666666666,0.20833333333333334
allow,47,0.7021276595744681,0.2978723404255319
require,47,0.6595744680851063,0.3404255319148936
seem,46,1.0,0.0
offer,46,0.9130434782608695,0.08695652173913043
lose,45,0.8666666666666667,0.13333333333333333
develop,43,0.8837209302325582,0.11627906976744186
remember,43,0.9534883720930233,0.046511627906976744
turn,43,0.8372093023255814,0.16279069767441862
bear,43,0.09302325581395349,0.9069767441860465
receive,43,0.9534883720930233,0.046511627906976744
hear,42,0.9761904761904762,0.023809523809523808
include,42,0.8571428571428571,0.14285714285714285
understand,41,0.926829268292683,0.07317073170731707
study,41,0.9512195121951219,0.04878048780487805
talk,40,0.975,0.025
learn,40,0.925,0.075
set,39,0.6923076923076923,0.3076923076923077
run,38,0.9210526315789473,0.07894736842105263
grow,38,0.8947368421052632,0.10526315789473684
continue,37,0.9459459459459459,0.05405405405405406
open,37,0.918918918918919,0.08108108108108109
follow,36,0.7777777777777778,0.2222222222222222
pay,36,0.9166666666666666,0.08333333333333333
die,36,0.9444444444444444,0.05555555555555555
buy,35,1.0,0.0
watch,35,0.9714285714285714,0.02857142857142857
live,35,1.0,0.0
cause,35,0.9142857142857143,0.08571428571428572
increase,34,0.7058823529411765,0.29411764705882354
send,34,0.7352941176470589,0.2647058823529412
serve,34,0.7647058823529411,0.23529411764705882
collect,33,0.8484848484848485,0.15151515151515152
move,33,1.0,0.0
decide,33,0.9696969696969697,0.030303030303030304
love,33,0.9090909090909091,0.09090909090909091
speak,32,0.75,0.25
meet,32,0.9375,0.0625
change,32,1.0,0.0
apply,31,0.6451612903225806,0.3548387096774194
lead,31,0.8709677419354839,0.12903225806451613
appear,30,1.0,0.0
publish,30,0.3,0.7
describe,30,0.8,0.2
happen,30,1.0,0.0
can,30,1.0,0.0
wear,30,0.9,0.1
involve,30,0.6,0.4
place,29,0.7931034482758621,0.20689655172413793
read,29,1.0,0.0
fill,29,0.8275862068965517,0.1724137931034483
suggest,29,0.896551724137931,0.10344827586206896
support,29,0.896551724137931,0.10344827586206896
expect,29,0.5517241379310345,0.4482758620689655
break,28,0.6428571428571429,0.35714285714285715
pick,28,0.8928571428571429,0.10714285714285714
return,28,0.8214285714285714,0.17857142857142858
stop,28,1.0,0.0
produce,27,0.8518518518518519,0.14814814814814814
stay,27,1.0,0.0
end,27,1.0,0.0
protect,27,0.5925925925925926,0.4074074074074074
establish,27,0.48148148148148145,0.5185185185185185
explain,26,0.8846153846153846,0.11538461538461539
suppose,26,0.23076923076923078,0.7692307692307693
claim,26,0.8846153846153846,0.11538461538461539
cover,26,0.5769230769230769,0.4230769230769231
spend,26,0.9615384615384616,0.038461538461538464
carry,25,0.96,0.04
