bin,count,P_active,P_passive
"(-0.001, 0.13]",1744,0.9902522935779816,0.00974770642201835
"(0.13, 0.184]",1956,0.9498977505112475,0.050102249488752554
"(0.184, 0.238]",1785,0.9596638655462185,0.040336134453781515
"(0.238, 0.312]",1688,0.8904028436018957,0.10959715639810426
"(0.312, 0.344]",2725,0.4935779816513762,0.5064220183486239
"(0.344, 0.375]",548,0.9343065693430657,0.06569343065693431
"(0.375, 0.429]",1788,0.8378076062639821,0.1621923937360179
"(0.429, 0.522]",1609,0.8029832193909261,0.19701678060907396
"(0.522, 0.667]",1835,0.7754768392370572,0.2245231607629428
"(0.667, 1.0]",1612,0.44168734491315137,0.5583126550868487
