bin,count,P_active,P_passive
"(-0.001, 0.00218]",3406,0.4944216089254257,0.5055783910745743
"(0.00218, 0.0156]",321,1.0,0.0
"(0.0156, 0.188]",1528,0.8409685863874345,0.15903141361256545
"(0.188, 0.333]",1967,0.8373157092018302,0.1626842907981698
"(0.333, 0.556]",1500,0.6633333333333333,0.33666666666666667
"(0.556, 0.664]",1947,0.8500256805341551,0.14997431946584489
"(0.664, 0.733]",1456,0.823489010989011,0.17651098901098902
"(0.733, 0.815]",1917,0.9243609806990088,0.07563901930099114
"(0.815, 0.868]",1557,0.8856775850995504,0.11432241490044959
"(0.868, 1.0]",1691,0.9733885274985216,0.026611472501478415
