value,count,P_active,P_passive
DET,3115,0.9833065810593901,0.016693418940609953
ADP,2808,0.6025641025641025,0.3974358974358974
PRON,2610,0.9888888888888889,0.011111111111111112
PUNCT,1690,0.7875739644970414,0.21242603550295858
NOUN,1560,0.7775641025641026,0.22243589743589742
VERB,1205,0.11950207468879669,0.8804979253112033
PART,1086,0.8232044198895028,0.17679558011049723
ADV,1049,0.7244995233555768,0.2755004766444233
ADJ,790,0.9329113924050633,0.0670886075949367
SCONJ,457,0.8205689277899344,0.17943107221006566
PROPN,333,0.8798798798798799,0.12012012012012012
NUM,225,0.9422222222222222,0.057777777777777775
CCONJ,216,0.75,0.25
AUX,70,0.8142857142857143,0.18571428571428572
INTJ,57,0.9122807017543859,0.08771929824561403
SYM,9,1.0,0.0
MISSING,6,0.8333333333333334,0.16666666666666666
