bin,count,P_active,P_passive
"(-0.766, 0.027]",837,0.992831541218638,0.007168458781362007
"(0.027, 0.037]",793,0.9949558638083228,0.005044136191677175
"(0.037, 0.0476]",801,0.9912609238451935,0.008739076154806492
"(0.0476, 0.0606]",838,0.9952267303102625,0.00477326968973747
"(0.0606, 0.0741]",834,0.9916067146282974,0.008393285371702638
"(0.0741, 0.0909]",886,0.9943566591422122,0.0056433408577878106
"(0.0909, 0.111]",733,0.9931787175989086,0.0068212824010914054
"(0.111, 0.143]",807,0.9962825278810409,0.0037174721189591076
"(0.143, 0.2]",746,0.9959785522788204,0.004021447721179625
"(0.2, 0.833]",767,0.9934810951760105,0.00651890482398957
,9248,0.0,0.0
