value,count,P_active,P_passive
MISSING,9248,0.604455017301038,0.39554498269896193
it,433,1.0,0.0
that,221,0.9864253393665159,0.013574660633484163
they,164,1.0,0.0
you,163,1.0,0.0
I,148,1.0,0.0
what,135,1.0,0.0
we,130,1.0,0.0
he,98,1.0,0.0
this,81,1.0,0.0
person,71,1.0,0.0
she,54,1.0,0.0
something,53,1.0,0.0
how,49,1.0,0.0
one,47,1.0,0.0
lot,46,1.0,0.0
thing,44,1.0,0.0
time,33,1.0,0.0
which,29,1.0,0.0
idea,29,1.0,0.0
word,28,1.0,0.0
way,28,1.0,0.0
life,26,1.0,0.0
place,26,1.0,0.0
information,25,1.0,0.0
work,25,1.0,0.0
number,25,0.96,0.04
system,24,1.0,0.0
role,23,1.0,0.0
right,22,1.0,0.0
anything,21,1.0,0.0
game,21,1.0,0.0
guy,21,1.0,0.0
job,21,1.0,0.0
all,21,1.0,0.0
problem,21,1.0,0.0
yourself,19,1.0,0.0
question,19,1.0,0.0
much,19,1.0,0.0
everything,19,1.0,0.0
value,18,1.0,0.0
interest,18,1.0,0.0
step,18,1.0,0.0
box,17,1.0,0.0
data,17,1.0,0.0
video,17,1.0,0.0
more,17,1.0,0.0
process,17,1.0,0.0
point,16,0.9375,0.0625
some,16,1.0,0.0
quinoa,16,1.0,0.0
world,16,1.0,0.0
room,16,1.0,0.0
name,15,0.9333333333333333,0.06666666666666667
amount,15,0.8666666666666667,0.13333333333333333
basil,15,1.0,0.0
why,15,1.0,0.0
hand,15,1.0,0.0
effect,15,1.0,0.0
nothing,15,1.0,0.0
day,15,1.0,0.0
attention,14,1.0,0.0
where,14,1.0,0.0
action,14,1.0,0.0
case,14,1.0,0.0
access,14,0.9285714285714286,0.07142857142857142
language,14,1.0,0.0
himself,14,1.0,0.0
property,14,1.0,0.0
kind,14,1.0,0.0
sense,14,1.0,0.0
decision,14,1.0,0.0
service,14,1.0,0.0
area,13,1.0,0.0
use,13,1.0,0.0
history,13,1.0,0.0
bottle,13,1.0,0.0
difference,13,1.0,0.0
hair,13,1.0,0.0
aspect,13,1.0,0.0
someone,13,1.0,0.0
goal,13,1.0,0.0
minute,13,1.0,0.0
fire,13,1.0,0.0
story,13,1.0,0.0
arm,13,1.0,0.0
ant,13,1.0,0.0
effort,12,1.0,0.0
chicken,12,1.0,0.0
space,12,1.0,0.0
material,12,1.0,0.0
operator,12,1.0,0.0
root,12,1.0,0.0
list,12,1.0,0.0
stuff,12,1.0,0.0
sample,12,1.0,0.0
shoe,11,1.0,0.0
chance,11,1.0,0.0
rule,11,1.0,0.0
progress,11,1.0,0.0
line,11,1.0,0.0
insight,11,1.0,0.0
food,11,1.0,0.0
study,11,1.0,0.0
myself,11,1.0,0.0
opportunity,11,1.0,0.0
friend,11,1.0,0.0
need,11,0.9090909090909091,0.09090909090909091
structure,10,1.0,0.0
country,10,1.0,0.0
bit,10,1.0,0.0
class,10,1.0,0.0
money,10,1.0,0.0
themselves,10,1.0,0.0
resource,10,1.0,0.0
article,10,1.0,0.0
content,10,1.0,0.0
business,10,1.0,0.0
test,9,1.0,0.0
lunch,9,1.0,0.0
support,9,1.0,0.0
will,9,1.0,0.0
book,9,1.0,0.0
result,9,1.0,0.0
institution,9,1.0,0.0
vodka,9,1.0,0.0
meaning,9,1.0,0.0
experience,9,1.0,0.0
error,9,1.0,0.0
challenge,9,1.0,0.0
view,9,1.0,0.0
land,9,0.8888888888888888,0.1111111111111111
letter,9,1.0,0.0
item,9,1.0,0.0
peace,9,1.0,0.0
bill,9,1.0,0.0
team,9,1.0,0.0
snitch,9,1.0,0.0
group,9,1.0,0.0
eye,9,1.0,0.0
flavor,9,1.0,0.0
cause,9,1.0,0.0
task,8,1.0,0.0
control,8,1.0,0.0
kid,8,1.0,0.0
government,8,1.0,0.0
knowledge,8,1.0,0.0
the,8,1.0,0.0
foot,8,1.0,0.0
project,8,1.0,0.0
girl,8,1.0,0.0
cupcake,8,1.0,0.0
loan,8,1.0,0.0
answer,8,1.0,0.0
thought,8,1.0,0.0
head,8,1.0,0.0
oil,8,1.0,0.0
situation,8,1.0,0.0
enjambment,8,1.0,0.0
finger,8,1.0,0.0
website,8,1.0,0.0
event,8,1.0,0.0
button,8,1.0,0.0
approach,8,1.0,0.0
theory,8,1.0,0.0
mass,8,1.0,0.0
method,8,1.0,0.0
quality,8,1.0,0.0
feature,8,1.0,0.0
picture,8,1.0,0.0
change,8,1.0,0.0
research,8,1.0,0.0
artwork,8,1.0,0.0
issue,8,1.0,0.0
impact,8,1.0,0.0
light,7,1.0,0.0
ballet,7,1.0,0.0
dog,7,1.0,0.0
color,7,1.0,0.0
connection,7,1.0,0.0
seed,7,1.0,0.0
office,7,1.0,0.0
legislation,7,1.0,0.0
culture,7,1.0,0.0
product,7,1.0,0.0
mathematics,7,1.0,0.0
look,7,1.0,0.0
Polaroid,7,1.0,0.0
floor,7,1.0,0.0
visa,7,0.5714285714285714,0.42857142857142855
relationship,7,1.0,0.0
chapter,7,1.0,0.0
sheet,7,1.0,0.0
bear,7,0.8571428571428571,0.14285714285714285
school,7,1.0,0.0
plan,7,1.0,0.0
man,7,1.0,0.0
definition,7,1.0,0.0
detail,7,1.0,0.0
leg,7,1.0,0.0
joke,7,1.0,0.0
type,7,1.0,0.0
water,7,1.0,0.0
two,7,1.0,0.0
$,7,1.0,0.0
possibility,7,1.0,0.0
understanding,7,1.0,0.0
energy,7,1.0,0.0
container,7,1.0,0.0
horse,7,1.0,0.0
example,7,1.0,0.0
part,7,1.0,0.0
donation,6,1.0,0.0
memory,6,1.0,0.0
gel,6,1.0,0.0
face,6,1.0,0.0
house,6,1.0,0.0
expertise,6,1.0,0.0
flight,6,1.0,0.0
responsibility,6,1.0,0.0
dream,6,1.0,0.0
novel,6,1.0,0.0
city,6,1.0,0.0
check,6,1.0,0.0
belief,6,1.0,0.0
vaccine,6,1.0,0.0
church,6,1.0,0.0
paper,6,1.0,0.0
importance,6,0.8333333333333334,0.16666666666666666
home,6,1.0,0.0
war,6,1.0,0.0
advantage,6,1.0,0.0
when,6,1.0,0.0
analysis,6,1.0,0.0
duty,6,1.0,0.0
camera,6,1.0,0.0
choice,6,0.8333333333333334,0.16666666666666666
itself,6,1.0,0.0
conversation,6,1.0,0.0
year,6,1.0,0.0
couple,6,1.0,0.0
long,6,1.0,0.0
skill,6,1.0,0.0
contribution,6,1.0,0.0
field,6,1.0,0.0
most,6,1.0,0.0
beauty,6,1.0,0.0
anyone,6,1.0,0.0
possession,6,1.0,0.0
judgment,6,1.0,0.0
mistake,6,1.0,0.0
dividend,6,1.0,0.0
passage,6,0.8333333333333334,0.16666666666666666
rate,6,1.0,0.0
performance,6,1.0,0.0
child,6,1.0,0.0
good,6,1.0,0.0
community,6,1.0,0.0
cat,6,1.0,0.0
form,6,1.0,0.0
Skittle,6,1.0,0.0
technique,6,1.0,0.0
collection,6,0.8333333333333334,0.16666666666666666
distortion,6,1.0,0.0
percent,6,1.0,0.0
pledge,6,1.0,0.0
door,6,1.0,0.0
painting,6,1.0,0.0
equipment,5,1.0,0.0
card,5,0.8,0.2
award,5,1.0,0.0
dinner,5,1.0,0.0
ability,5,1.0,0.0
freedom,5,1.0,0.0
census,5,1.0,0.0
organization,5,1.0,0.0
section,5,1.0,0.0
lemon,5,1.0,0.0
model,5,1.0,0.0
visitor,5,1.0,0.0
design,5,1.0,0.0
each,5,1.0,0.0
path,5,1.0,0.0
vlog,5,1.0,0.0
spirit,5,1.0,0.0
discussion,5,1.0,0.0
yield,5,1.0,0.0
hold,5,1.0,0.0
tax,5,1.0,0.0
campaign,5,1.0,0.0
who,5,1.0,0.0
user,5,1.0,0.0
store,5,1.0,0.0
hope,5,1.0,0.0
success,5,1.0,0.0
climate,5,1.0,0.0
population,5,1.0,0.0
flower,5,1.0,0.0
record,5,1.0,0.0
soil,5,1.0,0.0
route,5,1.0,0.0
instruction,5,1.0,0.0
hotel,5,1.0,0.0
Iraq,5,1.0,0.0
debut,5,1.0,0.0
copy,5,1.0,0.0
tradition,5,1.0,0.0
Trump,5,1.0,0.0
mixture,5,1.0,0.0
family,5,1.0,0.0
order,5,1.0,0.0
scope,5,1.0,0.0
environment,5,1.0,0.0
sound,5,1.0,0.0
plant,5,1.0,0.0
fact,5,1.0,0.0
island,5,1.0,0.0
pressure,5,1.0,0.0
policy,5,1.0,0.0
period,5,1.0,0.0
fruit,5,1.0,0.0
title,5,1.0,0.0
benefit,5,1.0,0.0
nature,5,1.0,0.0
attempt,5,1.0,0.0
car,5,1.0,0.0
concept,5,1.0,0.0
education,5,1.0,0.0
version,5,1.0,0.0
sentence,5,1.0,0.0
