value,count,P_active,P_passive
MISSING,11817,0.6894304815096894,0.31056951849031056
noun.act,661,0.9939485627836612,0.006051437216338881
noun.communication,641,0.9875195007800313,0.0124804992199688
noun.cognition,634,0.9889589905362776,0.011041009463722398
noun.artifact,553,0.9981916817359855,0.0018083182640144665
noun.attribute,345,0.991304347826087,0.008695652173913044
noun.state,325,0.9876923076923076,0.012307692307692308
noun.group,295,0.9932203389830508,0.006779661016949152
noun.person,287,1.0,0.0
noun.possession,172,0.9709302325581395,0.029069767441860465
noun.event,171,1.0,0.0
noun.Tops,147,1.0,0.0
noun.body,140,1.0,0.0
noun.time,134,1.0,0.0
noun.location,123,0.991869918699187,0.008130081300813009
noun.food,120,1.0,0.0
noun.quantity,117,1.0,0.0
noun.substance,104,1.0,0.0
adj.all,78,1.0,0.0
noun.plant,74,1.0,0.0
noun.object,66,1.0,0.0
noun.animal,66,0.9848484848484849,0.015151515151515152
noun.relation,63,1.0,0.0
noun.phenomenon,62,1.0,0.0
noun.feeling,44,1.0,0.0
noun.shape,17,1.0,0.0
noun.process,14,1.0,0.0
adv.all,10,0.9,0.1
noun.motive,9,1.0,0.0
