bin,count,P_active,P_passive
"(-0.001, 1.0]",855,0.9906432748538012,0.00935672514619883
"(1.0, 2.0]",822,0.9902676399026764,0.009732360097323601
"(2.0, 3.0]",766,0.9960835509138382,0.0039164490861618795
"(3.0, 4.0]",628,0.9920382165605095,0.007961783439490446
"(4.0, 5.0]",627,0.9968102073365231,0.003189792663476874
"(5.0, 6.0]",465,0.9935483870967742,0.0064516129032258064
"(6.0, 7.0]",371,0.9973045822102425,0.0026954177897574125
"(7.0, 10.0]",599,0.996661101836394,0.00333889816360601
"(10.0, 33.0]",534,0.9906367041198502,0.009363295880149813
,11623,0.0,0.0
