value,count,P_active,P_passive
PRON,4683,0.9209908178518044,0.0790091821481956
AUX,3421,0.6258403975445777,0.3741596024554224
PART,2053,0.934242571846079,0.06575742815392109
NOUN,2048,0.65966796875,0.34033203125
ADV,1474,0.7530529172320217,0.24694708276797828
PUNCT,919,0.6844396082698585,0.31556039173014144
PROPN,774,0.8372093023255814,0.16279069767441862
CCONJ,512,0.826171875,0.173828125
MISSING,444,0.8851351351351351,0.11486486486486487
SCONJ,407,0.9213759213759214,0.07862407862407862
VERB,186,0.6666666666666666,0.3333333333333333
DET,129,0.2248062015503876,0.7751937984496124
ADP,98,0.3877551020408163,0.6122448979591837
ADJ,59,0.4576271186440678,0.5423728813559322
INTJ,35,0.8857142857142857,0.11428571428571428
NUM,31,0.5161290322580645,0.4838709677419355
X,16,1.0,0.0
