bin,count,P_active,P_passive
"(0.213, 13.281]",1730,0.7364161849710983,0.2635838150289017
"(13.281, 23.053]",1730,0.7138728323699421,0.2861271676300578
"(23.053, 50.574]",1728,0.8310185185185185,0.16898148148148148
"(50.574, 66.309]",1728,0.8726851851851852,0.12731481481481483
"(66.309, 82.958]",1729,0.8264893001735107,0.1735106998264893
"(82.958, 109.736]",1730,0.8294797687861272,0.17052023121387283
"(109.736, 126.716]",1728,0.7430555555555556,0.2569444444444444
"(126.716, 148.382]",1730,0.7947976878612717,0.20520231213872833
"(148.382, 194.2]",1732,0.7678983833718245,0.23210161662817552
"(194.2, 664.444]",1725,0.7402898550724638,0.25971014492753625
