bin,count,P_active,P_passive
"(5.999, 726.0]",1730,0.5930635838150289,0.4069364161849711
"(726.0, 2224.8]",1728,0.8234953703703703,0.17650462962962962
"(2224.8, 3326.4]",1729,0.805668016194332,0.19433198380566802
"(3326.4, 4287.6]",1729,0.8710237131289763,0.12897628687102372
"(4287.6, 5236.0]",1730,0.8028901734104046,0.1971098265895954
"(5236.0, 6145.4]",1728,0.7384259259259259,0.26157407407407407
"(6145.4, 6935.0]",1730,0.846242774566474,0.15375722543352602
"(6935.0, 7853.0]",1730,0.7878612716763006,0.21213872832369943
"(7853.0, 9189.1]",1727,0.7764910248986682,0.2235089751013318
"(9189.1, 10223.0]",1729,0.8108733371891267,0.18912666281087334
