bin,count,P_active,P_passive
"(1.999, 10.0]",1891,0.8804865150713908,0.1195134849286092
"(10.0, 14.0]",1641,0.8086532602071907,0.19134673979280925
"(14.0, 18.0]",1869,0.7897271268057785,0.2102728731942215
"(18.0, 22.0]",1961,0.788883222845487,0.211116777154513
"(22.0, 25.0]",1540,0.7863636363636364,0.21363636363636362
"(25.0, 29.0]",1831,0.7733478973238668,0.22665210267613325
"(29.0, 33.0]",1666,0.7551020408163265,0.24489795918367346
"(33.0, 38.0]",1534,0.7333767926988266,0.2666232073011734
"(38.0, 47.0]",1704,0.7640845070422535,0.23591549295774647
"(47.0, 112.0]",1653,0.7598306110102844,0.24016938898971568
