bin,count,P_active,P_passive
"(-0.834, 0.0238]",1138,0.9868189806678384,0.013181019332161687
"(0.0238, 0.0333]",1193,0.9765297569153395,0.02347024308466052
"(0.0333, 0.0417]",1036,0.9681467181467182,0.03185328185328185
"(0.0417, 0.0541]",1089,0.9357208448117539,0.0642791551882461
"(0.0541, 0.069]",1187,0.9056444818871103,0.09435551811288964
"(0.069, 0.087]",1054,0.8757115749525617,0.12428842504743833
"(0.087, 0.111]",1178,0.8531409168081494,0.1468590831918506
"(0.111, 0.15]",1053,0.8338081671415005,0.16619183285849953
"(0.15, 0.235]",1101,0.8165304268846503,0.18346957311534967
"(0.235, 0.867]",1105,0.7954751131221719,0.20452488687782805
,6156,0.0,0.0
