value,count,P_active,P_passive
MISSING,14303,0.7840313221002587,0.2159686778997413
noun.person,474,0.8776371308016878,0.12236286919831224
noun.communication,303,0.7227722772277227,0.27722772277227725
noun.cognition,264,0.7234848484848485,0.2765151515151515
noun.act,254,0.7322834645669292,0.2677165354330709
noun.artifact,245,0.7387755102040816,0.2612244897959184
noun.group,232,0.7887931034482759,0.21120689655172414
noun.Tops,172,0.8604651162790697,0.13953488372093023
noun.attribute,141,0.75177304964539,0.24822695035460993
noun.state,111,0.8198198198198198,0.18018018018018017
noun.location,85,0.7764705882352941,0.2235294117647059
noun.event,80,0.8375,0.1625
noun.body,76,0.8947368421052632,0.10526315789473684
noun.time,60,0.85,0.15
noun.animal,58,0.8793103448275862,0.1206896551724138
noun.object,57,0.8070175438596491,0.19298245614035087
noun.quantity,51,0.8627450980392157,0.13725490196078433
noun.phenomenon,50,0.8,0.2
noun.substance,49,0.8367346938775511,0.16326530612244897
adj.all,44,0.9318181818181818,0.06818181818181818
noun.possession,44,0.6363636363636364,0.36363636363636365
noun.relation,32,0.59375,0.40625
noun.plant,31,0.9354838709677419,0.06451612903225806
noun.food,22,0.5909090909090909,0.4090909090909091
noun.feeling,21,0.7619047619047619,0.23809523809523808
noun.process,11,0.9090909090909091,0.09090909090909091
noun.motive,8,1.0,0.0
noun.shape,6,0.8333333333333334,0.16666666666666666
