bin,count,P_active,P_passive
"(-0.001, 1.0]",506,0.808300395256917,0.191699604743083
"(1.0, 2.0]",461,0.7960954446854663,0.2039045553145336
"(2.0, 3.0]",517,0.8336557059961315,0.16634429400386846
"(3.0, 4.0]",323,0.7956656346749226,0.2043343653250774
"(4.0, 5.0]",321,0.7632398753894081,0.2367601246105919
"(5.0, 6.0]",201,0.6616915422885572,0.3383084577114428
"(6.0, 7.0]",161,0.782608695652174,0.21739130434782608
"(7.0, 10.0]",320,0.796875,0.203125
"(10.0, 33.0]",233,0.7982832618025751,0.2017167381974249
,14247,0.0,0.0
