bin,count,P_active,P_passive
"(0.999, 2.0]",1951,0.13480266529984622,0.8651973347001538
"(2.0, 4.0]",2020,0.8227722772277227,0.17722772277227722
"(4.0, 6.0]",1953,0.8699436763952892,0.1300563236047107
"(6.0, 8.0]",1820,0.8884615384615384,0.11153846153846154
"(8.0, 10.0]",1495,0.8816053511705686,0.11839464882943143
"(10.0, 12.0]",1171,0.8795900939368061,0.12040990606319385
"(12.0, 16.0]",1927,0.8645563051375195,0.13544369486248053
"(16.0, 21.0]",1634,0.8745410036719706,0.12545899632802937
"(21.0, 29.0]",1687,0.8802608180201541,0.11973918197984589
"(29.0, 110.0]",1632,0.866421568627451,0.13357843137254902
