value,count,P_active,P_passive
verb.social,2082,0.8390970220941403,0.16090297790585975
verb.possession,2016,0.9027777777777778,0.09722222222222222
verb.communication,1963,0.8155883851248089,0.18441161487519103
verb.cognition,1761,0.8182850653038046,0.18171493469619535
MISSING,1710,0.23391812865497075,0.7660818713450293
verb.motion,1469,0.9012933968686181,0.0987066031313819
verb.stative,1427,0.8507358093903293,0.14926419060967064
verb.change,1108,0.8231046931407943,0.17689530685920576
verb.contact,950,0.7757894736842105,0.22421052631578947
verb.perception,858,0.9009324009324009,0.09906759906759907
verb.emotion,630,0.9253968253968254,0.0746031746031746
verb.creation,576,0.75,0.25
verb.consumption,355,0.7887323943661971,0.2112676056338028
verb.competition,229,0.8471615720524017,0.15283842794759825
verb.body,139,0.7985611510791367,0.2014388489208633
verb.weather,17,0.8235294117647058,0.17647058823529413
