bin,count,P_active,P_passive
"(-0.001, 2.0]",1592,0.7386934673366834,0.2613065326633166
"(2.0, 4.0]",2172,0.7670349907918969,0.23296500920810312
"(4.0, 5.0]",1354,0.8441654357459379,0.15583456425406203
"(5.0, 6.0]",1152,0.8098958333333334,0.19010416666666666
"(6.0, 9.0]",1887,0.8436671966083731,0.15633280339162692
"(9.0, 11.0]",1896,0.8739451476793249,0.1260548523206751
"(11.0, 13.0]",1495,0.9130434782608695,0.08695652173913043
"(13.0, 19.0]",1435,0.9233449477351916,0.07665505226480836
"(19.0, 30.0]",1289,0.8805275407292474,0.11947245927075252
"(30.0, 59.0]",1370,0.8992700729927007,0.10072992700729927
,1648,0.0,0.0
