bin,count,P_active,P_passive
"(0.0154, 0.125]",1803,0.8336106489184693,0.16638935108153077
"(0.125, 0.2]",1724,0.8109048723897911,0.18909512761020883
"(0.2, 0.286]",1818,0.7893289328932893,0.21067106710671066
"(0.286, 0.364]",1571,0.7759388924252069,0.22406110757479314
"(0.364, 0.455]",1733,0.7784189267166762,0.22158107328332372
"(0.455, 0.55]",1735,0.8023054755043227,0.19769452449567723
"(0.55, 0.643]",1768,0.7856334841628959,0.21436651583710406
"(0.643, 0.733]",1694,0.7780401416765053,0.22195985832349469
"(0.733, 0.833]",1828,0.7664113785557987,0.2335886214442013
"(0.833, 1.0]",1616,0.7295792079207921,0.27042079207920794
